words,scoring
stare,2.5205183585313176
arose,2.4971922246220304
slate,2.4907127429805613
raise,2.4712742980561555
arise,2.470842332613391
saner,2.459611231101512
snare,2.4583153347732183
irate,2.454427645788337
stale,2.447084233261339
crate,2.4414686825053997
trace,2.425917926565875
later,2.415550755939525
share,2.4025917926565876
store,2.396112311015119
scare,2.3956803455723543
alter,2.393952483801296
crane,2.3935205183585313
alert,2.368466522678186
teary,2.3667386609071275
saute,2.365010799136069
cater,2.3585313174946005
spare,2.357235421166307
alone,2.355075593952484
trade,2.3537796976241903
snore,2.3339092872570193
grate,2.3339092872570193
shale,2.329157667386609
least,2.32829373650108
stole,2.3226781857451404
react,2.3222462203023757
scale,2.3222462203023757
blare,2.318790496760259
parse,2.3114470842332615
glare,2.306695464362851
atone,2.305831533477322
learn,2.299784017278618
early,2.2980561555075596
leant,2.29244060475162
paler,2.2829373650107994
aisle,2.2807775377969763
flare,2.2807775377969763
shore,2.2781857451403886
steal,2.2755939524838014
trice,2.2751619870410367
score,2.2712742980561553
clear,2.2712742980561553
crone,2.2691144708423328
stone,2.2691144708423328
heart,2.268682505399568
loser,2.2682505399568034
taper,2.2669546436285097
hater,2.2647948164146867
relay,2.2639308855291578
plate,2.263498920086393
adore,2.2630669546436284
sauce,2.2617710583153348
safer,2.26133909287257
alien,2.260475161987041
caste,2.2600431965442764
shear,2.2596112311015117
baler,2.2591792656587475
siren,2.257451403887689
canoe,2.2526997840172784
shire,2.2518358531317495
renal,2.250539956803456
layer,2.2488120950323975
tamer,2.24622030237581
large,2.2444924406047515
pearl,2.2444924406047515
route,2.2436285097192226
brace,2.242764578833693
slice,2.2367170626349893
stage,2.2336933045356373
prose,2.2332613390928726
spore,2.232829373650108
rouse,2.2315334773218143
grace,2.230669546436285
solar,2.2254859611231104
suite,2.224622030237581
roast,2.222462203023758
lager,2.2159827213822894
cleat,2.2155507559395247
plane,2.2155507559395247
dealt,2.2151187904967604
spear,2.214254859611231
great,2.214254859611231
aider,2.2129589632829374
trope,2.2099352051835854
spire,2.206479481641469
tread,2.206047516198704
slave,2.2017278617710585
close,2.198704103671706
lance,2.198704103671706
rinse,2.197840172786177
prone,2.1974082073434125
cause,2.1974082073434125
drone,2.1952483801295894
noise,2.193952483801296
crest,2.1913606911447086
sober,2.1892008639308855
stair,2.188768898488121
paste,2.1883369330453566
skate,2.1883369330453566
tenor,2.187473002159827
water,2.1870410367170625
liner,2.1840172786177106
tripe,2.183585313174946
smear,2.1822894168466522
horse,2.1814254859611233
stake,2.1809935205183586
earth,2.179697624190065
caper,2.1792656587473003
range,2.1792656587473003
taker,2.1792656587473003
tried,2.178401727861771
beast,2.1758099352051836
table,2.1758099352051836
sonar,2.1749460043196542
space,2.1749460043196542
trail,2.17451403887689
drape,2.1727861771058317
plier,2.1719222462203023
slope,2.1714902807775376
erase,2.1688984881209503
urine,2.167170626349892
ready,2.1667386609071273
haste,2.166306695464363
yeast,2.1658747300215984
lapse,2.165010799136069
baste,2.1645788336933047
slide,2.1645788336933047
clone,2.1628509719222464
stern,2.1628509719222464
salve,2.161987041036717
lathe,2.1615550755939523
realm,2.1615550755939523
afire,2.161123110151188
place,2.1602591792656587
trial,2.158963282937365
grade,2.1585313174946004
farce,2.1585313174946004
saint,2.1572354211663067
chase,2.155939524838013
forte,2.15377969762419
stave,2.1524838012958964
crave,2.1524838012958964
shone,2.1511879049676024
swore,2.1511879049676024
slant,2.1511879049676024
false,2.1498920086393087
poise,2.1494600431965445
shade,2.1481641468682504
brine,2.1473002159827215
louse,2.146436285097192
leapt,2.145572354211663
wrote,2.145572354211663
scone,2.1442764578833695
pleat,2.143844492440605
borne,2.143844492440605
truce,2.14341252699784
cadet,2.1421166306695465
poser,2.139524838012959
grape,2.1390928725701945
sower,2.13866090712743
outer,2.138228941684665
feast,2.1377969762419005
yearn,2.137365010799136
tribe,2.135205183585313
swear,2.1326133909287255
leash,2.1321814254859612
slime,2.1308855291576676
panel,2.130453563714903
shape,2.1287257019438446
spite,2.127429805615551
state,2.1265658747300216
meant,2.1265658747300216
reach,2.126133909287257
pause,2.1257019438444926
feral,2.125269978401728
ramen,2.125269978401728
shine,2.1248380129589632
agile,2.1244060475161985
chore,2.1226781857451402
smote,2.1218142548596113
snarl,2.1205183585313176
bleat,2.120086393088553
payer,2.120086393088553
since,2.120086393088553
write,2.1192224622030236
those,2.1192224622030236
snake,2.1187904967602593
stead,2.1183585313174946
tease,2.11792656587473
alike,2.1161987041036716
cruel,2.1161987041036716
anode,2.1161987041036716
price,2.115766738660907
trove,2.115766738660907
haute,2.115766738660907
shame,2.1144708423326133
curse,2.1110151187904966
matey,2.1105831533477324
flier,2.1101511879049677
risen,2.108855291576674
weary,2.10755939524838
drake,2.1071274298056157
carve,2.1062634989200864
regal,2.1053995680345574
cedar,2.1041036717062633
argue,2.103671706263499
worse,2.103671706263499
inter,2.1032397408207344
spade,2.1028077753779697
train,2.1010799136069114
smile,2.1010799136069114
enact,2.1010799136069114
aside,2.0997840172786177
after,2.099352051835853
frame,2.0989200863930884
eater,2.0980561555075594
skier,2.096760259179266
mealy,2.096760259179266
clean,2.0958963282937364
smite,2.0954643628509717
treat,2.0946004319654428
older,2.0928725701943844
craze,2.0924406047516197
barge,2.0920086393088555
valet,2.0920086393088555
meaty,2.091144708423326
petal,2.091144708423326
cried,2.0907127429805614
goner,2.088552915766739
waste,2.088552915766739
repay,2.088552915766739
stray,2.088120950323974
cable,2.088120950323974
style,2.0876889848812095
alive,2.0876889848812095
lease,2.0872570194384448
suave,2.086393088552916
brake,2.0855291576673864
spiel,2.0846652267818575
sedan,2.084233261339093
phase,2.084233261339093
gayer,2.084233261339093
nurse,2.083801295896328
anger,2.082937365010799
crime,2.0816414686825055
coast,2.0803455723542115
laden,2.0794816414686825
spine,2.0794816414686825
inert,2.077753779697624
sweat,2.076889848812095
sepia,2.0764578833693306
salty,2.076025917926566
elate,2.0747300215982722
teach,2.0717062634989203
acute,2.070842332613391
surge,2.070842332613391
tower,2.070842332613391
tiger,2.0695464362850973
timer,2.0691144708423326
dance,2.067818574514039
coral,2.067818574514039
stein,2.0669546436285096
heard,2.0652267818574512
carol,2.0652267818574512
utile,2.0652267818574512
blade,2.0643628509719223
trite,2.063498920086393
beard,2.063498920086393
eclat,2.063498920086393
brute,2.063498920086393
shake,2.0630669546436287
super,2.062634989200864
slain,2.062634989200864
ovate,2.0622030237580993
merit,2.0609071274298056
rainy,2.060475161987041
ratio,2.059611231101512
slept,2.0578833693304537
resin,2.0570194384449243
brave,2.0570194384449243
their,2.05658747300216
camel,2.05658747300216
stoke,2.05658747300216
anime,2.0561555075593954
hotel,2.0548596112311017
metal,2.0539956803455723
solve,2.0539956803455723
artsy,2.0539956803455723
islet,2.0535637149028076
snide,2.0531317494600434
diner,2.0531317494600434
cream,2.052267818574514
glade,2.052267818574514
steam,2.052267818574514
peril,2.0518358531317493
gamer,2.0509719222462204
force,2.0505399568034557
raven,2.0496760259179267
cheat,2.0483801295896327
delay,2.0479481641468684
salon,2.0475161987041037
onset,2.047084233261339
spelt,2.0457883369330454
nosey,2.044924406047516
grave,2.044924406047516
filer,2.044060475161987
avert,2.0436285097192224
pride,2.0436285097192224
voter,2.0436285097192224
inlet,2.0436285097192224
snort,2.0423326133909288
opera,2.041900647948164
latte,2.0414686825053994
leach,2.041036717062635
lower,2.0401727861771057
motel,2.039740820734341
trend,2.039740820734341
prune,2.039308855291577
delta,2.039308855291577
purse,2.039308855291577
shalt,2.0375809935205185
creak,2.0371490280777538
steak,2.0371490280777538
penal,2.036717062634989
facet,2.036717062634989
rouge,2.03585313174946
harem,2.0354211663066955
shave,2.0345572354211665
smart,2.033693304535637
snipe,2.033693304535637
miser,2.0332613390928724
taste,2.032829373650108
lover,2.031965442764579
chose,2.031533477321814
blame,2.030669546436285
scent,2.030669546436285
tilde,2.030669546436285
cease,2.0302375809935205
cameo,2.0293736501079915
trash,2.0293736501079915
angle,2.0293736501079915
fetal,2.0293736501079915
satyr,2.028941684665227
stove,2.0280777537796975
satin,2.026781857451404
heist,2.026781857451404
naive,2.0250539956803455
snail,2.024622030237581
spice,2.0241900647948166
bread,2.0228941684665225
steer,2.021598272138229
nicer,2.021598272138229
story,2.021166306695464
terse,2.021166306695464
cider,2.0207343412527
scary,2.0207343412527
cagey,2.0198704103671705
bride,2.0198704103671705
wrest,2.0198704103671705
pried,2.0190064794816416
horde,2.018142548596112
miner,2.018142548596112
rifle,2.0172786177105833
maple,2.0168466522678186
bluer,2.016414686825054
remit,2.0159827213822896
singe,2.015550755939525
sleet,2.0151187904967602
grope,2.0146868250539955
smelt,2.0138228941684666
death,2.013390928725702
stain,2.013390928725702
other,2.013390928725702
serif,2.0116630669546436
boule,2.0116630669546436
cutie,2.01036717062635
prime,2.0099352051835853
cairn,2.0090712742980563
bathe,2.0090712742980563
gruel,2.0086393088552916
crept,2.0086393088552916
email,2.008207343412527
entry,2.007343412526998
relic,2.007343412526998
tonal,2.005183585313175
taken,2.0038876889848813
whale,2.002159827213823
probe,2.002159827213823
triad,2.0017278617710583
copse,2.0
arson,1.9982721382289417
polar,1.9982721382289417
swine,1.9978401727861772
unite,1.9974082073434125
scope,1.9974082073434125
leaky,1.9965442764578833
leafy,1.9965442764578833
baker,1.9961123110151189
rogue,1.9961123110151189
house,1.9956803455723542
comet,1.994816414686825
grant,1.9943844492440606
parer,1.9943844492440606
finer,1.9935205183585314
ulcer,1.9935205183585314
flame,1.9926565874730022
spent,1.9922246220302375
rivet,1.9922246220302375
idler,1.991792656587473
terra,1.9913606911447084
gripe,1.9883369330453564
amuse,1.9883369330453564
filet,1.9883369330453564
glean,1.9883369330453564
metro,1.9874730021598273
wager,1.9874730021598273
short,1.986609071274298
graze,1.9848812095032398
boast,1.9848812095032398
lithe,1.984449244060475
agent,1.983585313174946
crude,1.983585313174946
cower,1.9831533477321814
maker,1.9827213822894167
scree,1.9822894168466523
angel,1.9809935205183586
heron,1.9809935205183586
mouse,1.980561555075594
shoal,1.9796976241900648
talon,1.9796976241900648
racer,1.9796976241900648
grail,1.9792656587473003
poesy,1.9788336933045356
loose,1.9788336933045356
dream,1.9784017278617712
recap,1.9771058315334773
scant,1.9771058315334773
reply,1.9758099352051837
opine,1.9758099352051837
deity,1.975377969762419
sneak,1.9749460043196545
cover,1.9749460043196545
grime,1.9740820734341253
debar,1.9740820734341253
ocean,1.9736501079913606
shied,1.9727861771058315
dairy,1.9714902807775379
wiser,1.9706263498920087
soapy,1.9697624190064795
ripen,1.9688984881209504
towel,1.9688984881209504
oaken,1.9680345572354212
guile,1.967170626349892
abuse,1.9637149028077754
honey,1.9632829373650107
refit,1.9632829373650107
ideal,1.9632829373650107
liver,1.9628509719222462
recut,1.9624190064794815
ankle,1.961987041036717
bagel,1.9615550755939526
boney,1.9615550755939526
crier,1.9615550755939526
molar,1.961123110151188
broke,1.961123110151188
shirt,1.9602591792656587
sneer,1.9593952483801296
moral,1.958963282937365
abode,1.9585313174946004
corer,1.958099352051836
fried,1.9572354211663068
tuber,1.9572354211663068
easel,1.956803455723542
homer,1.956803455723542
decal,1.9563714902807776
prove,1.9563714902807776
reset,1.955939524838013
chart,1.9555075593952485
plait,1.9550755939524838
tapir,1.9550755939524838
fable,1.9546436285097193
credo,1.9546436285097193
drove,1.9542116630669546
navel,1.9537796976241901
frail,1.9533477321814254
loath,1.9533477321814254
noble,1.952915766738661
hairy,1.951619870410367
savor,1.9511879049676026
arena,1.9511879049676026
value,1.950755939524838
foyer,1.9503239740820735
usage,1.9503239740820735
guise,1.9494600431965443
surer,1.9494600431965443
flair,1.9490280777537796
paper,1.9490280777537796
party,1.9485961123110151
money,1.9481641468682505
decor,1.947732181425486
royal,1.9473002159827213
scaly,1.9473002159827213
reign,1.9473002159827213
olive,1.9473002159827213
forge,1.9460043196544277
exalt,1.9460043196544277
diary,1.9451403887688985
azure,1.9447084233261338
erupt,1.9447084233261338
stark,1.9442764578833693
spree,1.9438444924406046
relax,1.942548596112311
bloat,1.9421166306695465
break,1.9416846652267818
crash,1.9416846652267818
sport,1.9412526997840174
flake,1.9412526997840174
adobe,1.9408207343412527
inane,1.9403887688984882
alley,1.9403887688984882
plead,1.9403887688984882
pulse,1.939524838012959
drain,1.939524838012959
fiery,1.9390928725701944
untie,1.9386609071274299
dirge,1.9365010799136069
blast,1.9360691144708424
agree,1.9352051835853132
roach,1.9352051835853132
droit,1.9347732181425485
serum,1.9347732181425485
wafer,1.934341252699784
retch,1.933477321814255
amber,1.9326133909287257
actor,1.9326133909287257
tardy,1.9326133909287257
abide,1.932181425485961
heady,1.9308855291576674
pedal,1.9304535637149027
strap,1.9300215982721383
twine,1.9300215982721383
paint,1.9300215982721383
gloat,1.9300215982721383
staid,1.9295896328293736
beady,1.929157667386609
mange,1.92829373650108
drive,1.9278617710583152
spied,1.9274298056155508
ashen,1.926133909287257
spray,1.9248380129589633
sadly,1.9248380129589633
elite,1.9239740820734341
plant,1.9239740820734341
phone,1.9239740820734341
voice,1.923110151187905
eaten,1.9226781857451405
clove,1.9218142548596113
piety,1.9218142548596113
abort,1.9213822894168466
three,1.9213822894168466
ounce,1.9213822894168466
grove,1.9205183585313175
steel,1.9196544276457883
unset,1.9196544276457883
decay,1.9192224622030238
flute,1.9192224622030238
covet,1.9192224622030238
brain,1.91792656587473
chest,1.91792656587473
truer,1.9174946004319655
olden,1.9174946004319655
groan,1.9166306695464363
ample,1.9166306695464363
piney,1.9161987041036717
chair,1.9153347732181425
begat,1.9140388768898489
start,1.9140388768898489
halve,1.912742980561555
plied,1.912742980561555
peach,1.9123110151187905
lunar,1.9123110151187905
poker,1.9118790496760258
fairy,1.9118790496760258
prude,1.9118790496760258
power,1.9114470842332614
trawl,1.9114470842332614
labor,1.9114470842332614
waver,1.9114470842332614
shove,1.9101511879049675
gazer,1.9101511879049675
surly,1.9092872570194384
asset,1.9084233261339092
splat,1.9084233261339092
manor,1.9079913606911447
shard,1.90755939524838
chafe,1.90755939524838
irony,1.9071274298056156
coupe,1.9066954643628509
pesto,1.9062634989200864
grain,1.9058315334773217
trait,1.9058315334773217
owner,1.9049676025917928
float,1.9041036717062636
freak,1.903671706263499
sheer,1.903671706263499
overt,1.9032397408207344
glide,1.9015118790496761
flyer,1.9015118790496761
nerdy,1.900647948164147
title,1.900647948164147
radio,1.8989200863930886
stand,1.898488120950324
eager,1.898488120950324
daily,1.8980561555075595
shrew,1.8976241900647948
foray,1.8971922246220303
fecal,1.8967602591792656
acorn,1.8967602591792656
baron,1.8963282937365011
image,1.8958963282937364
ridge,1.8958963282937364
token,1.8958963282937364
riser,1.8958963282937364
berth,1.8950323974082073
noose,1.8946004319654428
verso,1.8941684665226781
stony,1.8941684665226781
crony,1.8941684665226781
sinew,1.8941684665226781
medal,1.893304535637149
spoke,1.893304535637149
clerk,1.8915766738660906
mercy,1.8911447084233262
flora,1.8911447084233262
blaze,1.8907127429805615
screw,1.8907127429805615
ladle,1.8907127429805615
reuse,1.8898488120950323
craft,1.8894168466522678
otter,1.8894168466522678
aware,1.8894168466522678
court,1.8889848812095031
beach,1.8885529157667387
drier,1.8876889848812095
saucy,1.8868250539956803
biome,1.8859611231101512
chute,1.8855291576673867
brief,1.885097192224622
pecan,1.885097192224622
tarot,1.8842332613390929
maize,1.8833693304535637
erode,1.881209503239741
hover,1.881209503239741
ultra,1.8807775377969762
waive,1.8807775377969762
daisy,1.8803455723542117
frost,1.879913606911447
lodge,1.879913606911447
decry,1.879913606911447
print,1.8794816414686826
model,1.8790496760259179
slang,1.8790496760259179
amble,1.8790496760259179
sloth,1.8786177105831534
glaze,1.8786177105831534
rebut,1.8781857451403887
whole,1.8777537796976242
truly,1.8773218142548596
wheat,1.876889848812095
adept,1.8755939524838012
dread,1.874730021598272
twice,1.874730021598272
hoard,1.8742980561555076
mower,1.8742980561555076
speak,1.873866090712743
gavel,1.8734341252699784
grief,1.8730021598272137
board,1.8725701943844493
rayon,1.8712742980561554
stalk,1.870842332613391
tense,1.870842332613391
prize,1.8699784017278618
sharp,1.869546436285097
faint,1.8682505399568035
giant,1.867818574514039
peace,1.8673866090712743
shorn,1.8669546436285098
setup,1.8669546436285098
broil,1.8669546436285098
spike,1.8669546436285098
waist,1.8660907127429807
melon,1.8660907127429807
mover,1.8660907127429807
lemur,1.865658747300216
sugar,1.865658747300216
wreak,1.865658747300216
corny,1.8643628509719223
gaily,1.8643628509719223
ovine,1.8634989200863932
guest,1.8622030237580993
rehab,1.8622030237580993
fresh,1.8617710583153348
today,1.8617710583153348
abled,1.8617710583153348
smoke,1.8613390928725702
valor,1.860475161987041
whose,1.8600431965442765
scorn,1.8600431965442765
globe,1.8600431965442765
croak,1.8591792656587474
nadir,1.8587473002159827
dopey,1.8583153347732182
greet,1.8583153347732182
nasty,1.8578833693304535
loamy,1.8570194384449243
leery,1.8570194384449243
mince,1.8557235421166307
there,1.8557235421166307
crust,1.855291576673866
bloke,1.8548596112311015
under,1.8539956803455724
beret,1.8535637149028077
extra,1.8531317494600432
toast,1.8531317494600432
clued,1.8526997840172785
adorn,1.8518358531317494
while,1.851403887688985
fibre,1.8509719222462202
aloft,1.8509719222462202
infer,1.8505399568034557
retro,1.850107991360691
masse,1.850107991360691
sandy,1.850107991360691
track,1.8496760259179266
sperm,1.8496760259179266
wider,1.8492440604751619
warty,1.8488120950323974
awoke,1.848380129589633
sheet,1.8479481641468682
dried,1.847084233261339
rearm,1.8466522678185746
agate,1.8466522678185746
brash,1.84622030237581
white,1.8457883369330454
patio,1.8457883369330454
novel,1.8457883369330454
depot,1.8453563714902808
broad,1.8449244060475163
above,1.8449244060475163
eagle,1.8449244060475163
front,1.8440604751619871
purge,1.8436285097192224
edict,1.8427645788336933
chide,1.841900647948164
felon,1.8414686825053996
spilt,1.8414686825053996
patsy,1.8406047516198705
retry,1.8401727861771058
ester,1.8397408207343413
erect,1.8397408207343413
straw,1.8388768898488121
gleam,1.8384449244060475
flirt,1.8384449244060475
gorge,1.8375809935205183
exact,1.8371490280777538
weird,1.8367170626349891
palsy,1.8367170626349891
cleft,1.8367170626349891
